network,step,opening,n_moves,mean_lc0_prob,var_lc0_prob,mean_human_prob,var_human_prob,nll_sum,human_nll_sum
256x20_20260531_lr1e-9,240,Sicilian Defense: Grand Prix Attack,35,0.41489,0.135359,0.377194,0.063665,170.204639,45.203963
256x20_20260531_lr1e-9,240,Sicilian Defense: Löwenthal Variation,10,0.567558,0.091516,0.501852,0.056042,23.421266,8.032144
256x20_20260531_lr1e-9,240,Sicilian Defense: Modern Variations,35,0.2934,0.093609,0.311342,0.025573,245.41336,44.998593
256x20_20260531_lr1e-9,240,"Sicilian Defense: Modern Variations, Anti-Qxd4 Move Order",17,0.466285,0.151821,0.38408,0.073125,84.203409,23.126486
256x20_20260531_lr1e-9,240,"Sicilian Defense: Modern Variations, Anti-Qxd4 Move Order Accepted",10,0.47053,0.12343,0.391511,0.061378,42.393594,13.855622
256x20_20260531_lr1e-9,240,"Sicilian Defense: Modern Variations, Main Line",10,0.692968,0.105718,0.567433,0.085864,21.356872,8.220391
256x20_20260531_lr1e-9,240,Sicilian Defense: Old Sicilian,35,0.363471,0.10265,0.32401,0.04858,190.219685,47.564828
256x20_20260531_lr1e-9,240,Sicilian Defense: Open,17,0.542261,0.137863,0.45994,0.088346,63.202018,18.280124
256x20_20260531_lr1e-9,240,Sicilian Defense: Taimanov Variation,9,0.632464,0.09735,0.45596,0.071935,5.799093,8.850648
256x20_20260531_lr1e-9,250,Bishop's Opening,35,0.24613,0.113562,0.352661,0.054265,316.406138,45.741233
256x20_20260531_lr1e-9,250,Bishop's Opening: Berlin Defense,28,0.323944,0.074392,0.308934,0.012975,165.909546,34.812974
256x20_20260531_lr1e-9,250,Bogo-Indian Defense: Exchange Variation,18,0.477186,0.120618,0.347724,0.024347,68.564496,20.703641
256x20_20260531_lr1e-9,250,Bogo-Indian Defense: Nimzowitsch Variation,18,0.489175,0.107351,0.301482,0.012573,67.126908,22.691327
256x20_20260531_lr1e-9,250,Catalan Opening: Closed,24,0.569223,0.078309,0.379432,0.059839,17.071819,27.006645
256x20_20260531_lr1e-9,250,Grünfeld Defense,10,0.448736,0.06361,0.346147,0.059713,25.684257,14.212191
256x20_20260531_lr1e-9,250,Grünfeld Defense: Exchange Variation,10,0.544736,0.070807,0.436404,0.082957,7.817077,10.904629
256x20_20260531_lr1e-9,250,Grünfeld Defense: Three Knights Variation,30,0.499655,0.13307,0.330739,0.060153,157.471367,42.197992
256x20_20260531_lr1e-9,250,"Grünfeld Defense: Three Knights Variation, Petrosian System",21,0.503127,0.100684,0.377614,0.068151,51.11062,25.488274
256x20_20260531_lr1e-9,250,Indian Defense: Anti-Nimzo-Indian,22,0.424336,0.099584,0.274575,0.03745,73.628942,36.274228
256x20_20260531_lr1e-9,250,Indian Defense: London System,35,0.34651,0.104896,0.350224,0.05641,162.543409,45.473879
256x20_20260531_lr1e-9,250,Italian Game: Classical Variation,18,0.324105,0.100749,0.364866,0.031454,105.238101,20.864884
256x20_20260531_lr1e-9,250,"Italian Game: Classical Variation, Albin Gambit",16,0.398841,0.083197,0.380332,0.028566,50.10911,17.306238
256x20_20260531_lr1e-9,250,"Italian Game: Classical Variation, Center Attack",16,0.424457,0.098447,0.428088,0.023157,49.200024,14.92749
256x20_20260531_lr1e-9,250,"Italian Game: Classical Variation, Giuoco Pianissimo",35,0.442142,0.075097,0.346306,0.017855,66.428737,39.841182
256x20_20260531_lr1e-9,250,"Italian Game: Giuoco Pianissimo, Normal",27,0.435012,0.063739,0.349352,0.016064,58.447403,30.233633
256x20_20260531_lr1e-9,250,Italian Game: Giuoco Piano,22,0.388404,0.083851,0.369313,0.020547,89.761916,23.673696
256x20_20260531_lr1e-9,250,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation",25,0.494134,0.173688,0.444001,0.080385,154.840726,30.973696
256x20_20260531_lr1e-9,250,"Italian Game: Two Knights Defense, Modern Bishop's Opening",31,0.442589,0.080167,0.299176,0.015923,63.682021,40.095809
256x20_20260531_lr1e-9,250,"Italian Game: Two Knights Defense, Traxler Counterattack, Bishop Sacrifice Line",22,0.288788,0.11871,0.323835,0.020155,210.102768,27.153871
256x20_20260531_lr1e-9,250,"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line",22,0.288788,0.11871,0.372124,0.029836,210.102768,24.647432
256x20_20260531_lr1e-9,250,King's Indian Defense,10,0.478023,0.056942,0.405792,0.040393,10.242155,10.220564
256x20_20260531_lr1e-9,250,King's Indian Defense: Fianchetto Variation,22,0.561421,0.121991,0.441064,0.108347,81.986552,26.620346
256x20_20260531_lr1e-9,250,"King's Indian Defense: Fianchetto Variation, Delayed Fianchetto",16,0.470592,0.091129,0.291299,0.054513,47.247105,25.066807
256x20_20260531_lr1e-9,250,King's Indian Defense: Four Pawns Attack,9,0.493882,0.052747,0.459675,0.05215,23.470867,8.295772
256x20_20260531_lr1e-9,250,King's Indian Defense: Normal Variation,10,0.511161,0.072381,0.400227,0.041976,24.164015,10.360807
256x20_20260531_lr1e-9,250,"King's Indian Defense: Normal Variation, King's Knight Variation",18,0.55203,0.088767,0.414267,0.048594,31.618603,18.514729
256x20_20260531_lr1e-9,250,"King's Indian Defense: Normal Variation, Rare Defenses",24,0.551957,0.091057,0.43958,0.049356,66.608301,22.951681
256x20_20260531_lr1e-9,250,King's Indian Defense: Smyslov Variation,21,0.401146,0.103437,0.407008,0.054143,120.506344,22.122515
256x20_20260531_lr1e-9,250,London System,29,0.390858,0.131091,0.341028,0.051066,197.004915,39.710726
256x20_20260531_lr1e-9,250,"London System, with Bd3",13,0.383474,0.129094,0.399965,0.07114,80.620756,14.833596
256x20_20260531_lr1e-9,250,"London System, with Be2",13,0.417127,0.109663,0.383035,0.07741,46.839665,15.926746
256x20_20260531_lr1e-9,250,Neo-Grünfeld Defense: with Nf3,24,0.387948,0.098904,0.320509,0.051207,93.475842,33.330833
256x20_20260531_lr1e-9,250,Nimzo-Indian Defense,21,0.397879,0.072019,0.272688,0.013207,41.917635,28.684242
256x20_20260531_lr1e-9,250,Nimzo-Indian Defense: Classical Variation,10,0.499231,0.066679,0.336314,0.019322,24.702186,11.678434
256x20_20260531_lr1e-9,250,"Nimzo-Indian Defense: Classical Variation, Berlin Variation",10,0.394231,0.077353,0.339277,0.020024,28.403717,11.632695
256x20_20260531_lr1e-9,250,Nimzo-Indian Defense: Three Knights Variation,30,0.36079,0.120376,0.326212,0.067083,154.33884,48.718731
256x20_20260531_lr1e-9,250,Petrov's Defense: Italian Variation,20,0.212778,0.092965,0.314097,0.012347,196.050846,24.594656
256x20_20260531_lr1e-9,250,Philidor Defense,51,0.280366,0.111963,0.3688,0.063277,448.817852,67.006097
256x20_20260531_lr1e-9,250,Philidor Defense: Exchange Variation,20,0.468182,0.167939,0.372259,0.040539,102.437532,23.163618
256x20_20260531_lr1e-9,250,Queen's Gambit Accepted,33,0.322518,0.13474,0.340622,0.036558,258.186455,40.516912
256x20_20260531_lr1e-9,250,Queen's Gambit Accepted: Old Variation,34,0.40133,0.139932,0.377624,0.054529,203.64608,40.351444
256x20_20260531_lr1e-9,250,Queen's Gambit Declined,38,0.406889,0.1149,0.336386,0.029532,175.052257,48.541262
256x20_20260531_lr1e-9,250,Queen's Gambit Declined: Harrwitz Attack,34,0.50238,0.068954,0.334187,0.015322,28.69074,39.44284
256x20_20260531_lr1e-9,250,Queen's Gambit Declined: Modern Variation,19,0.407626,0.101116,0.329033,0.019593,72.254704,22.827387
256x20_20260531_lr1e-9,250,Queen's Gambit Declined: Ragozin Defense,39,0.456693,0.078841,0.329671,0.017334,40.780634,46.597633
256x20_20260531_lr1e-9,250,Queen's Gambit Declined: Three Knights Variation,34,0.550263,0.055669,0.359526,0.014769,24.206968,36.819853
256x20_20260531_lr1e-9,250,"Queen's Gambit Declined: Three Knights, Vienna Variation",9,0.30693,0.109108,0.303791,0.005946,77.312762,11.032204
256x20_20260531_lr1e-9,250,"Queen's Gambit Declined: Vienna Variation, Quiet Variation",14,0.449144,0.15871,0.263161,0.008344,96.313377,19.747827
256x20_20260531_lr1e-9,250,Queen's Pawn Game: Accelerated London System,98,0.313247,0.078285,0.320097,0.018738,417.815955,120.309382
256x20_20260531_lr1e-9,250,Queen's Pawn Game: London System,35,0.271703,0.060741,0.323223,0.028665,151.687065,44.757004
256x20_20260531_lr1e-9,250,"Ruy Lopez: Berlin Defense, Improved Steinitz Defense",10,0.420476,0.111964,0.373112,0.028875,43.145582,10.892678
256x20_20260531_lr1e-9,250,Ruy Lopez: Exchange Variation,9,0.428307,0.122125,0.467343,0.036089,42.006147,7.637707
